Author,Recommender,Title,category,google_id,pages,publication_date
David Quammen,Jonathan Eisen,Spillover,['Medical'],ezeIZReBMt4C,587.0,2012-10-01
Jed McKenna,Naval Ravikant,"Spiritual Enlightenment, the Damnedest Thing","['Body, Mind & Spirit']",y-Go8BNKiDEC,,2009-11-25
Jed McKenna,Naval Ravikant,Spiritual Warfare,"['Body, Mind & Spirit']",oMwNJgAACAAJ,328.0,2007
Jed McKenna,Naval Ravikant,Spiritually Incorrect Enlightenment,['Religion'],IOksQv4dreMC,,2009-11-25
Bal Govind Misra,Eric Weinstein,Spoken and Written Hindi,,WHbuzAEACAAJ,468.0,1971
Edvard Radzinsky,Jordan Peterson,Stalin,['Biography & Autobiography'],3DtwdU7921YC,624.0,2011-05-18
Oleg V. Khlevniuk,Brandon Stanton,Stalin,['Biography & Autobiography'],Dy7CCAAAQBAJ,500.0,2015-05-19
Simon Sebag Montefiore,Elon Musk,Stalin,['Biography & Autobiography'],f-HerzgvxssC,848.0,2007-12-18
Antony Beevor,Richard Branson,Stalingrad,['History'],7n1WnhX17GkC,560.0,1999-05-01
Joachim Wieder,Jocko Willink,Stalingrad,['History'],aZZ4QgAACAAJ,320.0,1995
Stuart Dischell,Rolf Potts,Standing on Z,['Poetry'],8R8SkAEACAAJ,27.0,2017-09
Olaf Stapledon,Stewart Brand,Star Maker,['Fiction'],ZGCmVpuuk9QC,192.0,2008-01-01
Jerry Spinelli,Taylor Swift,Stargirl,['Young Adult Fiction'],zVYA6F2rfKoC,312.0,2001-11-13
Simon Sinek,Richard Branson | Tony Hsieh | Julie Rice | Robert Rodriguez,Start with Why,['Business & Economics'],fkOKDQAAQBAJ,246.0,2011
Jon Acuff,Dave Ramsey,Start.,['Self-Help'],Nb4QAgAAQBAJ,232.0,2013-11-11
Mark Rippetoe,Mr. Money Mustache,Starting Strength,['Weight lifting'],hq4kAAAACAAJ,244.0,2005
Iain M. Banks,Elon Musk | Stewart Brand | Jeff Bezos,State of the Art,['Fiction'],CD8212z2MpcC,224.0,2010-03-04
John C. Bogle,Mr. Money Mustache,Stay the Course,['Business & Economics'],Mwh0DwAAQBAJ,320.0,2018-12-06
Austin Kleon,Chase Jarvis,Steal Like an Artist,['Self-Help'],NVZuUSJtpcQC,160.0,2012-02-28
Steven Kotler,Joe Rogan | Aubrey Marcus,Stealing Fire,['Business & Economics'],9cFBDAAAQBAJ,304.0,2017-02-21
Janet Evanovich,Hillary Clinton,Stephanie Plum Series,['Fiction'],i0TjwAEACAAJ,339.0,2007-06-19
Hermann Hesse,Amanda Palmer,Steppenwolf,"['Civilization, Western']",aplMBAAAQBAJ,166.0,2010
Walter Isaacson,Bill Gates | Elon Musk | Ray Dalio | Scott Adams | George Raveling | Gary Vaynerchuk | Scott Belsky | Ed Zschau | Chris Fussell,Steve Jobs,['Biography & Autobiography'],8U2oAAAAQBAJ,630.0,2011
Randall E. Stross,Keith Rabois,Steve Jobs & the Next Big Thing,['Biography & Autobiography'],6e4cDvhrKhgC,630.0,2011-10-24
Charles Hurt,Donald Trump,Still Winning,['Political Science'],yPFzDwAAQBAJ,288.0,2019-07-09
Dani Shapiro,Maria Popova,Still Writing,['Reference'],envGAgAAQBAJ,256.0,2013-10-01
Malika Oufkir,Oprah Winfrey,Stolen Lives,['Biography & Autobiography'],2OMOAAAACAAJ,431.0,2002-04-01
Marshall Sahlins,Seth Godin,Stone Age Economics,['Business & Economics'],LTUlDwAAQBAJ,376.0,2017-04-21
Ursula Hegi,Oprah Winfrey,Stones from the River,['Fiction'],g0EiAnVKBD4C,800.0,1997-08-01
Erik Spiekermann,Debbie Millman,Stop Stealing Sheep & Find Out How Type Works,['Computers'],wKlKAgAAQBAJ,213.0,2013-10-16
Ted Chiang,Naval Ravikant | Patrick Collison | Tim Ferriss,Stories of Your Life and Others,['Fiction'],WTBA-wzX7cwC,288.0,2010-10-26
Ernst Jünger,Jocko Willink,Storm of Steel,['Biography & Autobiography'],oM9zDQAAQBAJ,320.0,2016-05-31
Robert McKee,Rolf Potts,Story,['Performing Arts'],6y_AR8EZI54C,480.0,2010-09-28
Robert A. Heinlein,Tim Ferriss,Stranger in a Strange Land,['Fiction'],jBtDSf1VzQkC,448.0,1987-05-15
Larissa MacFarquhar,Nick Thompson,Strangers Drowning,['Philosophy'],yWRTDQAAQBAJ,336.0,2016
Timothy D. Wilson,Malcolm Gladwell,Strangers to Ourselves,['Psychology'],W4yzugYjz08C,272.0,2004-05-15
John Gray,Dick Costolo,Straw Dogs,['Philosophy'],0GGyCwAAQBAJ,272.0,2016-03-29
Tom Rath,Brian Armstrong,Strengths Based Leadership,['Business & Economics'],F9xDCwAAQBAJ,266.0,2008
Tom Rath,Neil Strauss,StrengthsFinder 2.0,['Business & Economics'],gttDCwAAQBAJ,175.0,2007-02
Emily Fletcher,Aubrey Marcus,"Stress Less, Accomplish More","['Body, Mind & Spirit']",WHtbDwAAQBAJ,272.0,2019-02-19
Timothy F. Geithner,Bill Gates | Warren Buffett | Mr. Money Mustache,Stress Test,['Biography & Autobiography'],rrTwAgAAQBAJ,592.0,2014-05-12
Scott Sonenshein,Brené Brown,Stretch,['Business & Economics'],ku8qDAAAQBAJ,304.0,2017-02-07
Frederick M. Hess,Bill Gates,Stretching the School Dollar,['Education'],eg25cQAACAAJ,351.0,2010
Bruce Lee,Naval Ravikant,Striking Thoughts,['Sports & Recreation'],FbqHCgAAQBAJ,256.0,2015-09-01
David Foster Wallace,Bill Gates | Ben Shapiro,String Theory,['Biography & Autobiography'],7gnujgEACAAJ,176.0,2016-05-10
Meg Meeker,Dave Ramsey,"Strong Fathers, Strong Daughters",['Family & Relationships'],ysxOl41noKMC,296.0,2006-09-30
Meg Meeker,Dave Ramsey,"Strong Mothers, Strong Sons",['Family & Relationships'],A8pvDwAAQBAJ,368.0,2015-04
Jeffrey S. Rosenthal,Mr. Money Mustache,Struck by Lightning,['Science'],855qE9nDYhYC,270.0,2006-04-28
Gerald Jay Sussman,Patrick Collison,Structure and Interpretation of Classical Mechanics,['Science'],a4-pBgAAQBAJ,584.0,2015-02-06
Harold Abelson,Patrick Collison | Paul Graham | Max Levchin,Structure and Interpretation of Computer Programs,['Computers'],1DrQngEACAAJ,657.0,1996
Mark Miodownik,Bill Gates | Patrick Collison,Stuff Matters,['History'],_5yUAwAAQBAJ,252.0,2014-05-27
Daniel Todd Gilbert,Ev Williams | Sam Harris | Derek Sivers | Maria Popova,Stumbling on Happiness,['Psychology'],2U-HbwwjR24C,336.0,2009-02-24
Leonard Mlodinow,Ray Dalio,Subliminal,['Business & Economics'],V7wt3Sqj_X8C,260.0,2013
Russell Simmons,Ellen DeGeneres,Success Through Stillness,['Self-Help'],1u0BDAAAQBAJ,224.0,2015-04-14
Cheri Huber,Jane McGonigal,Suffering Is Optional,"['Body, Mind & Spirit']",p-YOAAAACAAJ,240.0,2002-03-01
William Dufty,Maurice Ashley,Sugar Blues,,7hZkPwAACAAJ,,1981-07
Toni Morrison,Oprah Winfrey,Sula,['African American women'],1C0GmoUZJcYC,174.0,1998
David Eagleman,Patrick Collison | Derek Sivers,Sum,['Fiction'],-cjWiI8DEywC,107.0,2009-02-10
Mike Isaac,Alexis Ohanian,Super Pumped,['Business & Economics'],TnaODwAAQBAJ,408.0,2019-09-03
Gary Shteyngart,Whitney Cummings | Emily Ratajkowski,Super Sad True Love Story,['Fiction'],43QCNcjtOSEC,352.0,2010-07-27
Steven D. Levitt,Bill Gates,SuperFreakonomics,['Business & Economics'],2ww1No7b5OYC,320.0,2009-10-20
Philip E. Tetlock,Julia Galef,Superforecasting,['Business & Economics'],hC_qBQAAQBAJ,352.0,2015-09-29
Nick Bostrom,Naval Ravikant | Elon Musk | Sam Altman | Sam Harris | Marc Goodman | Will MacAskill,Superintelligence,['Computers'],7_H8AwAAQBAJ,328.0,2014
Bryce DeWitt,Eric Weinstein,Supermanifolds,['Science'],0NinYnTQa-gC,407.0,1992-05-28
Adam Smith,Warren Buffett,Supermoney,['Investments'],5LKCQgAACAAJ,301.0,1973
William Stivers,Noam Chomsky,Supremacy and Oil,['Technology & Engineering'],Scm6AAAAIAAJ,207.0,1982
Iain M. Banks,Elon Musk | Jeff Bezos,Surface Detail,['Fiction'],eDt6lmVX_k0C,640.0,2010-10-28
David JC MacKay,Bill Gates,Sustainable Energy,['Business & Economics'],IsgiPQAACAAJ,366.0,2009
Julian M. Allwood,Bill Gates,Sustainable Materials,['Science'],GGaHtQAACAAJ,373.0,2012
Arthur Ransome,Richard Branson,Swallows and Amazons,['Adventure'],8NWGAAAACAAJ,392.0,1993-07-01
Peter Guralnick,Ta-Nehisi Coates,Sweet Soul Music,['Music'],-m6BAwAAQBAJ,384.0,2014-11-04
Andrew S. Grove,Keith Rabois | Ben Horowitz,Swimming Across,['Biography & Autobiography'],vUKoDwAAQBAJ,,2019-08-09
Carl Jung,Jordan Peterson,Symbols of Transformation,['Psychoanalysis'],RXIbAQAAMAAJ,,1962
Hermann Weyl,Eric Weinstein,Symmetry,['Science'],GG1FCQAAQBAJ,176.0,2015-07-06
Plato,Bryan Callen,Symposium,['Philosophy'],pgzAAwAAQBAJ,49.0,2003
Carl Jung,Ricardo Semler,Synchronicity,['Psychology'],usrGSaO7QosC,177.0,1997
John Gall,Jordan Peterson,Systemantics,['System theory'],eo9qAAAAMAAJ,144.0,1975
Chris Anderson,Tim Urban,TED Talks,['Public speaking'],fhEgjgEACAAJ,224.0,2016-05-03
Arthur Levitt,Warren Buffett,Take on the Street,['Business & Economics'],Gqg_DwAAQBAJ,364.0,2003
Gianno Caldwell,Donald Trump,Taken for Granted,['Political Science'],bmaIDwAAQBAJ,224.0,2019-11-12
Alex Carey,Noam Chomsky,Taking the Risk Out of Democracy,['Language Arts & Disciplines'],_UrtQ89Kp3YC,215.0,1997
Karen Wickre,Ryan Hoover | Chip Conley | Chris Anderson,Taking the Work Out of Networking,['Business & Economics'],RJZ5DwAAQBAJ,240.0,2018-11-27
Geoff Colvin,Donald Trump,Talent Is Overrated,['Business & Economics'],-1szDAAAQBAJ,242.0,2011-01-11
Ram Charan,Keith Rabois,Talent Wins,['Business & Economics'],xXMzDwAAQBAJ,192.0,2018-03-06
Edward Eager,Gretchen Rubin,Tales of Magic Boxed Set,['Juvenile Fiction'],esEzCwAAQBAJ,896.0,2016-10-18
Roald Dahl,Richard Branson,Tales of the Unexpected,['Classical fiction'],w5aiPwAACAAJ,281.0,2008-09-01
Giff Constable,Ron Conway | Andrew Ng,Talking to Humans,['Customer relations'],ggzGoQEACAAJ,87.0,2014-09-24
Malcolm Gladwell,Fareed Zakaria | Elizabeth Warren,Talking to Strangers,['Social Science'],VnuGDwAAQBAJ,400.0,2019-09-10
Lao Tzu,Naval Ravikant | Stewart Brand | Josh Waitzkin | Soman Chainani | Michael Gervais | Rick Rubin | Brian MacKenzie | Jason Nemer,Tao Te Ching,['Fiction'],vNUmCwAAQBAJ,53.0,2015-06-08
Bruce Lee,Ed Latimore,Tao of Jeet Kune Do,['Sports & Recreation'],g37ysgEACAAJ,245.0,2011
Alan Watts,Naval Ravikant,Tao of Philosophy,['Philosophy'],GLLFHGoHPJwC,128.0,1999-10-15
Carol J. Loomis,Bill Gates | Mr. Money Mustache,Tap Dancing to Work,['Biography & Autobiography'],1mqJDQAAQBAJ,348.0,2013-12-31
Maeve Binchy,Oprah Winfrey,Tara Road,['Fiction'],2tU5AgAAQBAJ,656.0,2009-12-23
Rupert Snell,Eric Weinstein,Teach Yourself Hindi,['Foreign Language Study'],dpgYgumi-s8C,496.0,2011-04-22
Mike Ritland,Jocko Willink,Team Dog,['Dogs'],8ZfZCwAAQBAJ,232.0,2016-01-05
Doris Kearns Goodwin,Bill Gates | J.K. Rowling | Alexandria Ocasio-Cortez | Scott Belsky,Team of Rivals,['Biography & Autobiography'],gK8u_h8aAOkC,944.0,2009-02-12
Stanley McChrystal,Doug McMillon | M. Sanjayan,Team of Teams,['Business & Economics'],wW4CDAAAQBAJ,290.0,2015
Erik Davis,Jason Silva,TechGnosis,['Computers'],kdJnBAAAQBAJ,456.0,2015-03-17
Lewis Mumford,Patrick Collison,Technics and Civilization,['History'],PU7PktesGUoC,495.0,2010-10-30
Neil Postman,Tristan Harris,Technopoly,['Technology & Engineering'],gYrIVidSiLIC,240.0,2011-06-01
Kevin Eastman,Joe Gebbia,Teenage Mutant Ninja Turtles,['Comics & Graphic Novels'],lGCaBQAAQBAJ,,
F. Scott Fitzgerald,Bob Iger,Tender Is the Night,['Fiction'],QhC8AwAAQBAJ,436.0,2014-06-05
George Saunders,Dave Elitch | Bob Iger,Tenth of December,['Fiction'],wQz-1BR2rTYC,272.0,2013-01-03
Margaret Cheney,Ev Williams,Tesla,['Biography & Autobiography'],HIuK7iLO9zgC,400.0,2011-11-08
Mat Best,Brendan Schaub,Thank You for My Service,['Biography & Autobiography'],CbWPDwAAQBAJ,224.0,2019-08-20
Thomas L. Friedman,Bill Gates,That Used to Be Us,['Political Science'],ueZYkM1JWvEC,432.0,2012-08-21
Marc Randolph,Reed Hastings,That Will Never Work,['Business & Economics'],m4aSDwAAQBAJ,336.0,2019-09-17
Joanne Lipman,Mark Cuban,That's What She Said,['Business & Economics'],-hncDgAAQBAJ,320.0,2018-01-30
Meg Meeker,Dave Ramsey,The 10 Habits of Happy Mothers,['Family & Relationships'],gCngETp4szgC,249.0,2011-09-06
Gregory Cochran,Nick Szabo,"The 10,000 Year Explosion",['Science'],VrpUh0rRYvsC,304.0,2009-01-27
Lynda Gratton,Chip Conley,The 100-Year Life,['Business & Economics'],wM_ODwAAQBAJ,432.0,2020-05-28
James Thurber,Neil Gaiman,The 13 Clocks,['Fiction'],HdCoDAAAQBAJ,128.0,2016
Jim Dethmer,Brian Armstrong | Dustin Moskovitz | Tony Robbins,The 15 Commitments of Conscious Leadership,['Leadership'],8JsKogEACAAJ,361.0,2015
John C. Maxwell,Dave Ramsey,The 21 Irrefutable Laws of Leadership,['Business & Economics'],p-NaVKOmmG4C,336.0,2007-09-16
Al Ries,Ramit Sethi,The 22 Immutable Laws of Branding,['Business & Economics'],P78R-5OnaqsC,272.0,2009-10-06
Al Ries,Tim Ferriss | Brian Armstrong | Tristan Harris | Chase Jarvis,The 22 Immutable Laws of Marketing,['Marketing'],e8SgPwAACAAJ,160.0,1994
Robert Greene,Ryan Holiday,The 33 Strategies of War,['Self-Help'],LqbbUBHK8b4C,496.0,2010-09-03
Robert Greene,Ryan Holiday | Aubrey Marcus | DJ Vlad | Alice Little,The 48 Laws of Power,"['Body, Mind & Spirit']",P_zMW3EHnTEC,463.0,2010-09-03
Ted Dekker,Aubrey Marcus,The 49th Mystic,['Fiction'],PpM7DwAAQBAJ,432.0,2018-05-15
Gary Chapman,Dustin Moskovitz,The 5 Love Languages,['Family & Relationships'],K1fRBAAAQBAJ,208.0,2014-12-11
Stephen R. Covey,Noah Kagan | Dave Ramsey | Daniel Pink | Dustin Moskovitz | Shay Carl | Kishore Biyani | Michael McCullough | Ken Block,The 7 Habits of Highly Effective People,['Self-Help'],upUxaNWSaRIC,372.0,2004
Richard Koch,Keith Rabois | Dave Camarillo,The 80/20 Principle and 92 Other Powerful Laws of Nature,['Science'],qmTgG0LseYQC,338.0,2013-06-06
Maj Sjöwall,Donald Knuth,The Abominable Man,['Fiction'],fCnaCwAAQBAJ,215.0,2009
Arthur Koestler,Adam Robinson,The Act of Creation,"['Creation (Literary, artistic, etc.)']",IbLEjwEACAAJ,752.0,2014-04
James Morier,Patrick Collison,The Adventures of Hajji Baba of Ispahan,,aQJMAAAAcAAJ,403.0,1824
Daniel Pink,Kevin Kelly,The Adventures of Johnny Bunko,['Business & Economics'],fjAZutNGwb0C,160.0,2008
Astrid Lindgren,Michelle Obama,The Adventures of Pippi Longstocking,['Juvenile Fiction'],n0sHAAAACAAJ,290.0,1997
Mark Twain,Richard Branson,The Adventures of Tom Sawyer,['Juvenile Fiction'],rpC-JauA-xwC,260.0,2001-06
Lee Child,Malcolm Gladwell,The Affair,['Fiction'],c-bvDwAAQBAJ,432.0,2020-08-04
Michael Foley,David Heinemeier Hansson,The Age of Absurdity,['Philosophy'],CAZHAfhi-UkC,272.0,2010-09-16
Will Durant,Donald Knuth,The Age of Faith,['History'],cusRoE1OJvEC,1195.0,2011-06-07
Edith Wharton,Ta-Nehisi Coates,The Age of Innocence,['Fiction'],Tcki7cJyZh8C,432.0,2002-03-21
Will & Ariel Durant,Elon Musk | Larry Ellison,The Age of Napoleon,['History'],JiE3GbPcJcwC,872.0,2011-06-07
Ray Kurzweil,Steve Jurvetson,The Age of Spiritual Machines,['Computers'],lbl4MN3iUHsC,400.0,2000-01-01
Shoshana Zuboff,Barack Obama | Vinod Khosla,The Age of Surveillance Capitalism,['Business & Economics'],lRqrDQAAQBAJ,704.0,2019-01-15
Strobe Talbott,Noam Chomsky,The Age of Terror,['History'],kK--If_cTCEC,216.0,2009-07-21
Richard Holmes,Ed Cooke,The Age of Wonder,['Science'],sSLJnGMUw9wC,576.0,2009-07-14
Matt Ridley,Naval Ravikant,The Agile Gene,['Science'],KM46oPVi66UC,352.0,2012-02-14
Paulo Coelho,LeBron James | Aubrey Marcus | Big Sean | Brené Brown | Eric Ripert | Lisa Ling | Daniel Ek | Ryan Flaherty | Ryan Shea | Will Smith | Gabby Reece,The Alchemist,['Fiction'],FzVjBgAAQBAJ,208.0,2015-02-24
Reid Hoffman,Brian Armstrong | Phil Libin,The Alliance,['Business & Economics'],OvefAwAAQBAJ,193.0,2014
Claudius Ptolemy,Neil deGrasse Tyson,The Almagest,['Science'],M4K4oQEACAAJ,264.0,2014-12-01
Edward Klein,Donald Trump,The Amateur,['Political Science'],5Kjc_YLp4o8C,256.0,2013-06-03
Michael Chabon,Ev Williams,The Amazing Adventures of Kavalier & Clay,['Literary Criticism'],d0aVDAAAQBAJ,33.0,2016-06-29
Jean-Jacques Servan-Schreiber,Peter Thiel,The American Challenge,['Business & Economics'],rfhWAAAAYAAJ,254.0,1971
Michael Schaller,Noam Chomsky,The American Occupation of Japan,['History'],zgElh08a9IYC,368.0,1987-10-22
David M. Rubenstein,Fareed Zakaria,The American Story,['History'],-RSKDwAAQBAJ,416.0,2019-10-29
William Dalrymple,Barack Obama,The Anarchy,['History'],iRuoDwAAQBAJ,544.0,2019-09-10
William Ian Miller,Sam Harris,The Anatomy of Disgust,['Psychology'],YpPnwmxgsX0C,336.0,2009-06-30
Telford Taylor,Noam Chomsky,The Anatomy of the Nuremberg Trials,['Biography & Autobiography'],hEH7KcpN-OcC,703.0,2012-06-20
Peter Connolly,Paul Graham,The Ancient City,['Juvenile Nonfiction'],zMRlmgEACAAJ,256.0,2000
Lewis Carroll,Eric Weinstein,The Annotated Alice,['Fiction'],bd0AAQAAQBAJ,312.0,2000
Ian Stewart,Bryan Johnson,The Annotated Flatland,['Science'],l5sjMcbobB8C,272.0,2008-07-31
Friedrich Nietzsche,Jordan Peterson,The Anti-Christ,['Antichrist'],0ao8AAAAYAAJ,182.0,1920
Oliver Burkeman,David Allen,The Antidote,['Self-Help'],oi8Cbgobyy8C,256.0,2012-11-13
Mordecai Richler,Ryan Holiday,The Apprenticeship of Duddy Kravitz,['Fiction'],cYmAF7cBk7kC,384.0,2010-12-22
Eugene Rogan,Patrick Collison,The Arabs,['Arab countries'],GGovwQEACAAJ,736.0,2018-03
Carl Jung,Jordan Peterson | Ricardo Semler,The Archetypes and The Collective Unconscious ,['Psychology'],Yc5PlU9MyDwC,451.0,1969
Maggie Nelson,Emma Watson,The Argonauts,['Biography & Autobiography'],F4QkBQAAQBAJ,160.0,2015-05-05
U.S. Department of Defense,Jocko Willink,The Armed Forces Officer,['History'],N_hek4msSEMC,162.0,2007
Sun Tzu,Jocko Willink | Neil deGrasse Tyson | Ryan Petersen | Marc Benioff | Vlad Tenev | Dave Camarillo | Evan Spiegel,The Art Of War,['History'],V-7DAgAAQBAJ,96.0,2012-03-07
Robert Henri,Jack Dorsey | Ron Conway,The Art Spirit,['Art'],YxCbL7TPPwQC,288.0,2007-08-01
Ellen Wolff,Dwayne Johnson,The Art and Making of Rampage,['Art'],DfGvswEACAAJ,156.0,2018-04-10
Amanda Palmer,Tim Ferriss,The Art of Asking,['Self-Help'],xq-MAwAAQBAJ,224.0,2014-11-11
Eli Broad,Bill Gates,The Art of Being Unreasonable,['Business & Economics'],LJZqGV1SsasC,208.0,2012-04-19
Donald Knuth,Max Levchin,The Art of Computer Programming,['Computers'],x9AsAwAAQBAJ,672.0,1997-07-04
Richard W. Hamming,Patrick Collison,The Art of Doing Science and Engineering,['Probabilities'],tE59QgAACAAJ,344.0,1991-01
Lajos Egri,Seth Rogen,The Art of Dramatic Writing,['Language Arts & Disciplines'],1bp7P0-dEMMC,320.0,1972-02-15
Chad Harbach,Sam Kass,The Art of Fielding,['Fiction'],65p0FWFyFR4C,528.0,2011-09-07
Jesse Schell,Ryan Hoover,The Art of Game Design,['Computers'],kRMeBQAAQBAJ,600.0,2014-11-06
Epicurus,Jack Dorsey,The Art of Happiness,['Philosophy'],z4NWJKprR1MC,272.0,2012-12-24
Josh Waitzkin,Bryan Callen | Dave Elitch | Safi Bahcall | Ed Latimore | Mark Hart,The Art of Learning,['Biography & Autobiography'],XUwOtdcIWdkC,265.0,2008-05-27
Osho,Joe Rogan,The Art of Living and Dying,['Social Science'],8fsjDwAAQBAJ,272.0,2017-06-06
Erich Fromm,Esther Perel,The Art of Loving,['Psychology'],pM8MzzntBRcC,133.0,2013-02-26
R. B. Sparkman,Naval Ravikant,The Art of Manipulation,['Influence (Psychology)'],StyOmwEACAAJ,182.0,1978
Mary Karr,Tim Ferriss,The Art of Memoir,['Literary Criticism'],bL33BQAAQBAJ,256.0,2015-09-15
Rosamund Stone Zander,Seth Godin,The Art of Possibility,['Business & Economics'],K-nqOvyQZNkC,206.0,2000
Hayao Miyazaki,Tim Ferriss,The Art of Spirited Away,['Performing Arts'],YBSBwQEACAAJ,240.0,2002-08-25
Charles Oman,Paul Graham | Sam Altman,The Art of War in the Middle Ages,['Military art and science'],0pYrAAAAYAAJ,,1924
Donald Trump,Scott Adams,The Art of the Deal,['Business & Economics'],Ye6e_VxM00kC,384.0,2009-12-23
Peter Schwartz,Stewart Brand,The Art of the Long View,['Business & Economics'],fILtwg777hsC,272.0,1996
Gregor Kiczales,Alan Kay,The Art of the Metaobject Protocol,['Computers'],3X5Gnudn3k0C,335.0,1991
Dennis Hof,Alice Little,The Art of the Pimp,['Biography & Autobiography'],ewVxBgAAQBAJ,352.0,2015-03-17
Guy Kawasaki,Ev Williams | Keith Rabois,The Art of the Start,['Business & Economics'],jhN-BAAAQBAJ,336.0,2015-03-03
Guy Kawasaki,Matt Mullenweg,The Art of the Start 2.0,['Business & Economics'],jhN-BAAAQBAJ,336.0,2015-03-03
Julia Cameron,Tim Ferriss | Brian Koppelman,The Artist's Way,['SELF-HELP'],gtUiDQAAQBAJ,272.0,2016
Niall Ferguson,Max Levchin,The Ascent of Money,['History'],JA_IYJ0P4ZkC,441.0,2008
Ashvin B. Chhabra,Graham Duncan,The Aspirational Investor,['Business & Economics'],blmdBAAAQBAJ,240.0,2015-06-02
Benjamin Franklin,Paul Graham | Charlie Munger | Walter Isaacson | Cory Booker | Brandon Stanton | Vince Vaughn,The Autobiography of Benjamin Franklin,,9yoTAQAAMAAJ,253.0,1917
Malcolm X,Ryan Holiday | Steve Aoki | Jason Calacanis | Casey Neistat | Jerrod Carmichael,The Autobiography of Malcolm X,['Biography & Autobiography'],EtVfCgAAQBAJ,544.0,2015-08-25
"Martin Luther King, Jr.",Brandon Stanton,"The Autobiography of Martin Luther King, Jr.",['History'],GkHrnFzEykwC,630.0,1992
Jiddu Krishnamurti,Dave Elitch,The Awakening of Intelligence,['Mysticism'],KATXAAAAMAAJ,538.0,1973
Roald Dahl,Emma Watson,The BFG,['Juvenile Fiction'],XJH7DAAAQBAJ,176.0,2016-09-13
Scott Pape,Turia Pitt,The Barefoot Investor,"['Finance, Personal']",38xfBxH64V8C,227.0,2007
John C. Bogle,Mr. Money Mustache,The Battle for the Soul of Capitalism,['Business & Economics'],-kBZAwAAQBAJ,288.0,2008-10-01
E.W. Bovill,Paul Graham,The Battle of Alcazar,"['Alcazarquivir, Battle of, Qasṛ al-Kabīr, Larache, Morocco, 1578']",Y1BpAAAAMAAJ,198.0,1952
Jonathan Weiner,Sam Altman,The Beak of the Finch,['Science'],NLdZAwAAQBAJ,320.0,2014-05-14
Jagdish Mehra,Eric Weinstein,The Beat of a Different Drum,['Biography & Autobiography'],M_ONmDLmGO4C,696.0,2003
F. Scott Fitzgerald,Taylor Swift,The Beautiful and Damned,['Fiction'],o9ToDwAAQBAJ,496.0,2020-06-30
Nassim Nicholas Taleb,Naval Ravikant | Matt Mullenweg,The Bed of Procrustes,['Business & Economics'],tkr_03qNJmoC,176.0,2010-11-30
Joel ben Izzy,Maria Sharapova,The Beggar King and the Secret of Happiness,['Biography & Autobiography'],DnaW3NNB7Q8C,240.0,2005-09-02
David Deutsch,Naval Ravikant | Patrick Collison | Mark Zuckerberg | Sam Harris | Steven Pinker | Chris Anderson,The Beginning of Infinity,['Science'],jZHanN5_KPgC,496.0,2011-07-21
Sylvia Plath,Chloë Grace Moretz,The Bell Jar,['Fiction'],G-f1CQAAQBAJ,288.0,2015-08-11
Siddhartha Mukherjee,Jeff Dean,The Best American Science and Nature Writing 2013,['Medical'],fOvaCgAAQBAJ,608.0,2016-05-17
Bill Cosby,Oprah Winfrey,The Best Way to Play,['Juvenile Fiction'],jYJQGQAACAAJ,40.0,2007-01-01
Thi Bui,Bill Gates,The Best We Could Do,['Biography & Autobiography'],3OpEDQAAQBAJ,320.0,2017-03-07
Paul Sabin,Bill Gates,The Bet,['Business & Economics'],uXR4AAAAQBAJ,304.0,2013-09-03
Steven Pinker,Bill Gates | Stewart Brand | Mark Zuckerberg | Lex Fridman | Eric Schmidt | A.J. Jacobs | Chris Anderson | Jack Kornfield | Ben Silbermann | John Arnold,The Better Angels of Our Nature,['Psychology'],8-vYCwAAQBAJ,802.0,2012-09
-,Naval Ravikant | Alexandria Ocasio-Cortez | Wim Hof,The Bhagavad Gita,,r7xfAAAAMAAJ,151.0,1907
-,Jordan Peterson,The Bible,['Religion'],eXM1YwCGipMC,448.0,2002-11-01
William Novak,B.J. Novak,The Big Book of Jewish Humor,['Humor'],qQ1B3mgw1XoC,336.0,1981-12-04
William Novak,B.J. Novak,The Big Book of New American Humor,['American wit and humor.'],GpsNAQAAMAAJ,339.0,1990
Gay Hendricks,Noah Kagan,The Big Leap,['Self-Help'],7Jf2iWI1xZsC,224.0,2009-04-21
Ann Shoket,Kathryn Minshew,The Big Life,['Self-Help'],NRiyDAAAQBAJ,240.0,2017-03-14
Sean Carroll,Elon Musk | Liv Boeree,The Big Picture,['Science'],lufkDAAAQBAJ,464.0,2016-09-01
Michael S. Malone,Patrick Collison,The Big Score,['Science'],8i8WBXpf2BIC,290.0,2012-08-21
Michael Lewis,Malcolm Gladwell | David Heinemeier Hansson,The Big Short,['Business & Economics'],erDXCgAAQBAJ,320.0,2015-11-16
Raymond Chandler,Jordan Peterson,The Big Sleep,['Fiction'],J45s2d8tAggC,240.0,2002-06-11
Nicholas Carr,Marc Benioff,The Big Switch,['Computers'],_AwK_CtjC9wC,288.0,2009-01-19
Maria Konnikova,Tim Urban | Liv Boeree,The Biggest Bluff,['Psychology'],SjLGDwAAQBAJ,368.0,2020-06-23
Marc Lewis,Esther Dyson,The Biology of Desire,['Psychology'],CRtpCQAAQBAJ,256.0,2015-07-14
Mark Kramer,Nick Szabo,The Black Book of Communism,['Religion'],c5-TewmRvzsC,264.0,2011-12-16
