Author,Recommender,Title,category,google_id,pages,publication_date
Daniel Handler,Ev Williams,Adverbs,['Political Science'],GyIuDwAAQBAJ,356.0,2017-07-12
Joseph Sugarman,Neville Medhora,Advertising Secrets of the Written Word,['Fiction'],SzNrF7AvxTgC,288.0,2009-10-06
Virgil,Ryan Holiday | Mark Zuckerberg,Aeneid,['Business & Economics'],E_3tKAAACAAJ,312.0,1998
Jaak Panksepp,Jordan Peterson,Affective Neuroscience,['Poetry'],7kGuDwAAQBAJ,456.0,2019-09-09
Jonathan C. Randal,Noam Chomsky,"After Such Knowledge, What Forgiveness?",['Medical'],qqcRGagyEuAC,480.0,2004-09-30
Alan S. Blinder,Hillary Clinton,After the Music Stopped,['Political Science'],YimNDwAAQBAJ,,2019-03-04
Paul Bloom,Vinod Khosla,Against Empathy,['Business & Economics'],6Mdh5yuHavgC,528.0,2013-01-24
Peter L. Bernstein,Howard Marks,Against the Gods,['Psychology'],op67CwAAQBAJ,304.0,2016-12-06
Thomas Paine,Neil deGrasse Tyson,Age Of Reason,['Business & Economics'],G5TKA6B0pyEC,400.0,2012-09-11
P. J. O'Rourke,Eric Weinstein,Age and Guile,,g3pbAAAAQAAJ,,1818
Evan Osnos,Patrick Collison,Age of Ambition,['Humor'],Q04KsqoDrNcC,368.0,2007-12-01
Anthony R. Pratkanis,Ramit Sethi,Age of Propaganda,['History'],qy2SAgAAQBAJ,416.0,2014-05-13
David Ignatius,Anthony Bourdain,Agents of Innocence,['Political Science'],9LsuMoEtSV4C,416.0,2001-03-14
bell hooks,Emma Watson,Ain't I a Woman,['Fiction'],e1caYCGMI9UC,448.0,2011-02-14
Carl Jung,Jordan Peterson,Aion,['Social Science'],f2_fBQAAQBAJ,206.0,2014-12-17
Michael Crichton,Ev Williams,Airframe,['Psychology'],ClKRjgEACAAJ,333.0,1968
Al Franken,Larry King,Al Franken,['Fiction'],hy7Vhdjoc2wC,448.0,2011
Jason Burke,Noam Chomsky,Al-Qaeda,['Biography & Autobiography'],nyn6DAAAQBAJ,416.0,2017-05-30
Pat Frank,Ben Shapiro,"Alas, Babylon",['Political Science'],-_FJFFrit8AC,355.0,2004-10
Banesh Hoffmann,Paul Graham,Albert Einstein,['Fiction'],Fh9Bi3-09-cC,368.0,2013-06-04
Ron Chernow,Travis Kalanick,Alexander Hamilton,['Physicists'],XshPyAEACAAJ,272.0,1973
Judith Viorst,Ev Williams,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",['Biography & Autobiography'],4z5eL5SGjEoC,832.0,2005-03-29
Lewis Carroll,Naval Ravikant | Richa Chadha,Alice in Wonderland,['Juvenile Fiction'],AGXinn6juRMC,32.0,2012-04-24
Michael Robbins,Rolf Potts,Alien vs. Predator,['Comics & Graphic Novels'],aEF_Fo7xCzsC,184.0,2010-08-03
bell hooks,Emma Watson,All About Love,['Poetry'],SC-ptkaj8UQC,88.0,2012-03-27
Paula Broadwell,Jon Stewart | Doris Kearns Goodwin,All In,['Family & Relationships'],A5ZDDwAAQBAJ,272.0,2018-01-30
Seth Godin,Joe Gebbia,All Marketers are Liars,['Biography & Autobiography'],2xKP4FWigAcC,432.0,2012-01-24
Sean Parnell,Jocko Willink,All Out War,['Business & Economics'],A8cdbXnU5NQC,186.0,2005
Tim Shipman,Marc Andreessen,All Out War,['Fiction'],Bu98DwAAQBAJ,496.0,2019-09-03
Rick Bragg,Jason Calacanis,All Over but the Shoutin',['History'],CU6oDAAAQBAJ,688.0,2016-11-03
Erich Maria Remarque,Donald Trump,All Quiet on the Western Front,['Biography & Autobiography'],Df9jzqT3Z8EC,352.0,2010-08-18
